condition,seed,fold,n_test_windows,n_test_subjects,accuracy,sensitivity,specificity,precision,f1_score,roc_auc
original_A1A2_same_windows,3,0,1662,24,0.8598074608904934,0.9270946681175191,0.7765814266487214,0.8369351669941061,0.879710893133712,0.9100351924454138
common_average_reference,3,0,1662,24,0.8477737665463297,0.8715995647442872,0.8183041722745625,0.8557692307692307,0.8636118598382749,0.9071720534198768
original_A1A2_same_windows,3,1,1562,24,0.7804097311139565,0.6415730337078651,0.9642857142857143,0.9596638655462185,0.7690235690235689,0.87170278223649
common_average_reference,3,1,1562,24,0.8348271446862996,0.8,0.8809523809523809,0.898989898989899,0.8466111771700358,0.8985946696094169
original_A1A2_same_windows,3,2,1659,24,0.8710066305003014,0.9652076318742986,0.76171875,0.8245445829338447,0.889348500517063,0.942815744248036
common_average_reference,3,2,1659,24,0.869198312236287,0.9113355780022446,0.8203125,0.8547368421052631,0.8821292775665398,0.930885095164609
original_A1A2_same_windows,3,3,1608,24,0.8501243781094527,0.8752834467120182,0.8195592286501377,0.8549280177187154,0.8649859943977591,0.906160398043515
common_average_reference,3,3,1608,24,0.7058457711442786,0.7777777777777778,0.6184573002754821,0.7123572170301142,0.7436314363143632,0.8202705783874615
original_A1A2_same_windows,3,4,1722,24,0.7613240418118467,0.7340862422997947,0.7967914438502673,0.8246828143021915,0.7767517653449213,0.8483025233614071
common_average_reference,3,4,1722,24,0.7839721254355401,0.7566735112936345,0.81951871657754,0.8451834862385321,0.7984832069339112,0.8500779628633235
original_A1A2_same_windows,4,0,1662,24,0.8279181708784596,0.8541893362350381,0.7954239569313594,0.8377801494130203,0.845905172413793,0.8845920649310137
common_average_reference,4,0,1662,24,0.8110709987966306,0.911860718171926,0.6864064602960969,0.7824463118580766,0.8422110552763818,0.8842398475726293
original_A1A2_same_windows,4,1,1562,24,0.8169014084507042,0.7134831460674157,0.9538690476190477,0.9534534534534534,0.8161953727506426,0.9158482142857143
common_average_reference,4,1,1562,24,0.8111395646606914,0.8191011235955056,0.8005952380952381,0.8447276940903824,0.8317170564746149,0.9062382958801498
original_A1A2_same_windows,4,2,1659,24,0.8547317661241712,0.8933782267115601,0.8098958333333334,0.8450106157112527,0.8685215493726132,0.9529496352413019
common_average_reference,4,2,1659,24,0.8444846292947559,0.8922558922558923,0.7890625,0.8307210031347962,0.8603896103896105,0.9419988367471006
original_A1A2_same_windows,4,3,1608,24,0.6735074626865671,0.7063492063492064,0.6336088154269972,0.7007874015748031,0.7035573122529645,0.7130972682920735
common_average_reference,4,3,1608,24,0.763681592039801,0.7721088435374149,0.7534435261707989,0.791860465116279,0.7818599311136625,0.813822360900283
original_A1A2_same_windows,4,4,1722,24,0.832171893147503,0.973305954825462,0.6483957219251337,0.782824112303881,0.8677345537757436,0.9191272551581768
common_average_reference,4,4,1722,24,0.7508710801393729,0.7505133470225873,0.7513368983957219,0.797164667393675,0.7731359069275515,0.8283465010047327
original_A1A2_same_windows,5,0,1662,24,0.8561973525872443,0.8770402611534276,0.8304172274562585,0.8648068669527897,0.8708806050783361,0.9001313675552893
common_average_reference,5,0,1662,24,0.8243080625752106,0.8476605005440696,0.7954239569313594,0.8367346938775511,0.8421621621621622,0.8864315036093127
original_A1A2_same_windows,5,1,1562,24,0.7925736235595391,0.6764044943820224,0.9464285714285714,0.9435736677115988,0.787958115183246,0.8535078919208132
common_average_reference,5,1,1562,24,0.8463508322663252,0.7674157303370787,0.9508928571428571,0.9539106145251397,0.8505603985056042,0.8928805510968432
original_A1A2_same_windows,5,2,1659,24,0.9294755877034359,0.9741863075196409,0.8776041666666666,0.9022869022869023,0.9368591473286563,0.9879144453797232
common_average_reference,5,2,1659,24,0.7787823990355636,0.8507295173961841,0.6953125,0.7641129032258065,0.8050982474774298,0.8790604248503554
original_A1A2_same_windows,5,3,1608,24,0.7518656716417911,0.7845804988662132,0.7121212121212122,0.7680355160932297,0.776219854178351,0.8349496823522797
common_average_reference,5,3,1608,24,0.7779850746268657,0.7777777777777778,0.778236914600551,0.8099173553719008,0.7935222672064778,0.8030279604954929
