global_window_index,max_abs_amplitude,max_peak_to_peak,max_abs_kurtosis,frontal_low_frequency_ratio,frontal_high_frequency_ratio,line_noise_ratio,min_channel_std,nonfinite,flat_channel
6357,1564.0,2323.0,6.097330700913549,0.16190578126682617,0.08745121942381269,0.3164727045211414,105.93306180496259,False,False
6358,2057.0,3168.0,12.870811571706371,0.1921725871414836,0.10414848785866707,0.30001247446120755,115.8539695872978,False,False
6359,2057.0,3168.0,7.192130252822409,0.21550750355667583,0.04121884534774261,0.24024158779791213,113.48956531502924,False,False
6360,862.0,1471.0,3.453404296259885,0.591924146963516,0.1338204548656073,0.35711657011123926,103.35649736684731,False,False
6361,1282.0,2041.0,6.128697571083528,0.08731268215603344,0.16000132125303912,0.40564907192749594,98.63357572415103,False,False
6362,1282.0,2041.0,5.9708189446406195,0.1033690028196881,0.08349244230636167,0.41639564497552656,91.30489965789397,False,False
6363,572.0,1029.0,3.4178030910043464,0.14235385443318022,0.246154584156486,0.4015443669573949,96.67681464718378,False,False
6364,572.0,1029.0,4.161798046191447,0.236577598797123,0.15715317751772578,0.38418306325104035,82.13988481913391,False,False
6365,1177.0,1513.0,4.03202657064131,0.4440874057394281,0.12669303011591598,0.383850178064089,93.10333940148838,False,False
6366,2518.0,3274.0,6.172741106909051,0.5570814780731413,0.11555436562538474,0.37336413520933937,93.31572199149872,False,False
6367,2518.0,4268.0,4.994989871377065,0.5237212092917878,0.09182581540175774,0.5114621973705213,99.71847793317241,False,False
6368,1815.0,2956.0,18.421436300308727,0.48274671310757544,0.08830871939930397,0.2737151732846794,94.87204499599665,False,False
6369,1357.0,2569.0,12.97391321381173,0.23883839601665788,0.036932595029700796,0.2760463686407779,104.2887825856034,False,False
6370,1357.0,2393.0,12.798041215774537,0.47920836340360756,0.12432683191146848,0.38904419395304146,102.59424311379647,False,False
6371,604.0,879.0,1.2244741824061034,0.3788908445032291,0.19473917091673826,0.4799962421491309,93.10710818057878,False,False
6372,604.0,844.0,1.5179161721853394,0.20386518182640487,0.3058359491805627,0.33997600189687854,88.08850551879577,False,False
6373,604.0,949.0,0.47917043695912476,0.17553996786311515,0.20331126280554632,0.27242114394997297,80.35643099369632,False,False
6374,825.0,1176.0,1.3945267763315439,0.35969567261296537,0.18763938435918312,0.38249199104192455,84.44439239946513,False,False
6375,2633.0,4562.0,13.831350261815011,0.733635128504474,0.14322865496070816,0.32144265060025246,109.14981085445915,False,False
6376,2665.0,5298.0,7.6407722204278805,0.42812562682597183,0.011414979888635334,0.3029344770962208,160.7439779930466,False,False
6377,2665.0,4470.0,11.333134141661482,0.3938546422342111,0.011122426760963986,0.19757358179753992,143.18707138123918,False,False
6378,1856.0,3660.0,7.481181935491687,0.14730111180841185,0.04480129559749642,0.22633412134271536,99.71236028853957,False,False
6379,2026.0,3836.0,2.994199715233192,0.3346017391369793,0.026682970074337325,0.3382514488413672,123.44406206289409,False,False
